	22.00	22.00	25.00	28.00	28.00	31.00	31.00	34.00	37.00	37.00	37.00	40.00	40.00	43.00	43.00	43.00	43.00	43.00	43.00	43.00	43.00	43.00	43.00	43.00	43.00	43.00	40.00	40.00	37.00	37.00	37.00	34.00	31.00	31.00	28.00	28.00	25.00	22.00	22.00	19.00	16.00	13.00	13.00	10.00	7.00	4.00	1.00	1.00	-2.00	-5.00	-8.00	-11.00	-14.00	-14.00	-17.00	-20.00	-23.00	-26.00	-29.00	-32.00	-35.00	-38.00	-41.00	-41.00	-44.00	-47.00	-50.00	-53.00	-56.00	-59.00	-62.00	-65.00	-68.00	-71.00	-74.00	-77.00	-80.00	-83.00	-83.00	-86.00	-89.00	-92.00	-95.00	-98.00	-101.00	-104.00	-107.00	-110.00	-113.00	-116.00	-119.00	-122.00	-125.00	-128.00	-131.00	-134.00	-137.00	-140.00	-143.00	-146.00
	22.00	24.06	26.11	27.99	29.14	30.75	31.87	33.62	35.30	36.12	36.86	38.22	39.05	40.30	40.76	40.93	40.98	40.97	40.92	40.84	40.73	40.60	40.42	40.18	39.82	39.17	37.72	36.68	35.11	34.15	33.11	31.19	29.20	27.82	25.94	24.51	22.38	20.20	18.60	16.31	13.84	11.50	9.80	7.40	4.81	2.20	-0.23	-1.99	-4.44	-7.11	-9.84	-12.52	-14.99	-16.81	-19.30	-22.03	-24.85	-27.70	-30.57	-33.43	-36.26	-39.00	-41.53	-43.37	-45.90	-48.66	-51.50	-54.38	-57.29	-60.20	-63.11	-66.03	-68.94	-71.85	-74.73	-77.58	-80.34	-82.88	-84.73	-87.27	-90.03	-92.88	-95.76	-98.67	-101.58	-104.50	-107.43	-110.35	-113.27	-116.20	-119.12	-122.04	-124.95	-127.86	-130.76	-133.66	-136.54	-139.43	-142.41	-146.00
	25.00	26.11	27.41	28.70	29.83	31.01	32.10	33.32	34.46	35.32	36.10	36.96	37.69	38.40	38.80	38.98	39.02	38.98	38.87	38.71	38.50	38.24	37.91	37.49	36.92	36.13	35.03	33.89	32.61	31.40	30.09	28.47	26.77	25.15	23.43	21.72	19.80	17.82	15.91	13.78	11.56	9.36	7.28	5.01	2.62	0.21	-2.11	-4.30	-6.67	-9.17	-11.71	-14.24	-16.66	-18.92	-21.38	-23.98	-26.67	-29.40	-32.14	-34.88	-37.59	-40.23	-42.73	-45.06	-47.57	-50.22	-52.96	-55.75	-58.56	-61.39	-64.23	-67.06	-69.89	-72.71	-75.50	-78.25	-80.91	-83.43	-85.78	-88.31	-90.97	-93.71	-96.51	-99.32	-102.16	-105.00	-107.85	-110.70	-113.55	-116.40	-119.24	-122.08	-124.91	-127.73	-130.54	-133.32	-136.07	-138.75	-141.23	-143.00
	28.00	27.99	28.70	29.58	30.46	31.34	32.21	33.09	33.91	34.61	35.24	35.84	36.36	36.79	37.06	37.17	37.15	37.05	36.87	36.62	36.31	35.94	35.49	34.94	34.26	33.41	32.38	31.25	30.02	28.74	27.37	25.85	24.24	22.60	20.90	19.15	17.29	15.37	13.41	11.36	9.24	7.11	4.96	2.75	0.46	-1.85	-4.14	-6.42	-8.76	-11.17	-13.62	-16.06	-18.47	-20.85	-23.30	-25.84	-28.44	-31.07	-33.72	-36.37	-39.00	-41.58	-44.10	-46.57	-49.10	-51.71	-54.38	-57.09	-59.82	-62.58	-65.34	-68.10	-70.86	-73.60	-76.32	-79.00	-81.62	-84.17	-86.66	-89.21	-91.83	-94.50	-97.22	-99.97	-102.73	-105.50	-108.27	-111.05	-113.83	-116.60	-119.37	-122.13	-124.88	-127.61	-130.33	-133.02	-135.68	-138.27	-140.74	-143.00
	28.00	29.14	29.83	30.46	31.08	31.70	32.31	32.91	33.47	33.97	34.41	34.80	35.12	35.35	35.47	35.48	35.38	35.19	34.93	34.60	34.20	33.72	33.17	32.52	31.75	30.86	29.84	28.71	27.49	26.19	24.80	23.31	21.74	20.11	18.42	16.67	14.85	12.96	11.02	9.01	6.95	4.85	2.72	0.54	-1.68	-3.93	-6.20	-8.47	-10.79	-13.14	-15.53	-17.92	-20.31	-22.71	-25.15	-27.64	-30.17	-32.73	-35.31	-37.89	-40.46	-43.00	-45.52	-48.02	-50.56	-53.13	-55.75	-58.40	-61.07	-63.76	-66.45	-69.15	-71.84	-74.52	-77.18	-79.80	-82.40	-84.95	-87.48	-90.04	-92.63	-95.25	-97.91	-100.59	-103.28	-105.99	-108.69	-111.40	-114.11	-116.81	-119.50	-122.19	-124.86	-127.51	-130.15	-132.76	-135.35	-137.92	-140.47	-143.00
	31.00	30.75	31.01	31.34	31.70	32.06	32.42	32.78	33.10	33.39	33.64	33.83	33.97	34.03	34.01	33.89	33.69	33.41	33.06	32.64	32.15	31.59	30.94	30.21	29.38	28.44	27.40	26.26	25.03	23.72	22.33	20.85	19.30	17.68	16.01	14.27	12.46	10.60	8.69	6.71	4.69	2.63	0.53	-1.61	-3.79	-6.00	-8.23	-10.49	-12.77	-15.08	-17.42	-19.78	-22.15	-24.53	-26.94	-29.39	-31.87	-34.37	-36.89	-39.42	-41.94	-44.45	-46.95	-49.45	-51.97	-54.51	-57.09	-59.68	-62.30	-64.93	-67.56	-70.20	-72.83	-75.45	-78.06	-80.65	-83.21	-85.75	-88.29	-90.83	-93.39	-95.98	-98.58	-101.20	-103.83	-106.47	-109.11	-111.75	-114.39	-117.02	-119.65	-122.26	-124.85	-127.43	-129.99	-132.53	-135.05	-137.59	-140.20	-143.00
	31.00	31.87	32.10	32.21	32.31	32.42	32.54	32.66	32.77	32.86	32.91	32.92	32.89	32.79	32.63	32.39	32.09	31.71	31.27	30.75	30.18	29.53	28.81	28.00	27.11	26.13	25.06	23.90	22.66	21.34	19.94	18.47	16.92	15.32	13.65	11.93	10.14	8.30	6.41	4.47	2.48	0.45	-1.63	-3.73	-5.88	-8.05	-10.25	-12.47	-14.72	-17.00	-19.30	-21.62	-23.96	-26.32	-28.71	-31.11	-33.55	-36.00	-38.47	-40.95	-43.42	-45.90	-48.38	-50.86	-53.35	-55.87	-58.40	-60.95	-63.51	-66.09	-68.67	-71.25	-73.83	-76.41	-78.97	-81.52	-84.05	-86.57	-89.08	-91.60	-94.13	-96.68	-99.23	-101.80	-104.37	-106.95	-109.53	-112.11	-114.68	-117.25	-119.80	-122.35	-124.87	-127.37	-129.85	-132.30	-134.73	-137.18	-139.76	-143.00
	34.00	33.62	33.32	33.09	32.91	32.78	32.66	32.56	32.46	32.35	32.22	32.06	31.86	31.62	31.32	30.96	30.55	30.07	29.53	28.94	28.27	27.55	26.75	25.88	24.94	23.91	22.81	21.62	20.36	19.03	17.62	16.15	14.61	13.01	11.36	9.64	7.87	6.05	4.18	2.27	0.30	-1.70	-3.74	-5.82	-7.93	-10.07	-12.24	-14.43	-16.65	-18.90	-21.16	-23.45	-25.76	-28.09	-30.44	-32.81	-35.21	-37.62	-40.04	-42.47	-44.91	-47.36	-49.80	-52.26	-54.72	-57.20	-59.69	-62.20	-64.72	-67.25	-69.78	-72.31	-74.84	-77.37	-79.89	-82.40	-84.90	-87.39	-89.88	-92.37	-94.86	-97.36	-99.87	-102.39	-104.91	-107.43	-109.95	-112.47	-114.98	-117.49	-119.98	-122.45	-124.90	-127.33	-129.73	-132.09	-134.41	-136.64	-138.67	-140.00
	37.00	35.30	34.46	33.91	33.47	33.10	32.77	32.46	32.17	31.87	31.57	31.24	30.89	30.50	30.07	29.60	29.07	28.49	27.86	27.18	26.44	25.64	24.77	23.84	22.84	21.77	20.63	19.42	18.14	16.79	15.38	13.90	12.36	10.77	9.12	7.41	5.66	3.86	2.00	0.11	-1.83	-3.81	-5.82	-7.87	-9.95	-12.06	-14.20	-16.36	-18.55	-20.77	-23.00	-25.26	-27.54	-29.84	-32.15	-34.49	-36.84	-39.22	-41.60	-43.99	-46.40	-48.81	-51.22	-53.64	-56.08	-58.52	-60.98	-63.44	-65.92	-68.40	-70.89	-73.37	-75.86	-78.34	-80.82	-83.29	-85.75	-88.21	-90.67	-93.12	-95.58	-98.04	-100.51	-102.98	-105.45	-107.91	-110.38	-112.84	-115.29	-117.74	-120.16	-122.57	-124.96	-127.32	-129.65	-131.94	-134.16	-136.29	-138.26	-140.00
	37.00	36.12	35.32	34.61	33.97	33.39	32.86	32.35	31.87	31.40	30.93	30.44	29.95	29.42	28.87	28.28	27.65	26.97	26.25	25.48	24.66	23.79	22.86	21.87	20.82	19.70	18.52	17.28	15.98	14.62	13.19	11.71	10.17	8.58	6.93	5.24	3.49	1.70	-0.13	-2.01	-3.92	-5.88	-7.87	-9.89	-11.94	-14.03	-16.14	-18.27	-20.43	-22.62	-24.82	-27.05	-29.30	-31.56	-33.85	-36.15	-38.47	-40.80	-43.15	-45.51	-47.87	-50.25	-52.63	-55.02	-57.42	-59.83	-62.25	-64.67	-67.11	-69.55	-71.99	-74.43	-76.88	-79.32	-81.76	-84.19	-86.62	-89.04	-91.46	-93.88	-96.30	-98.72	-101.14	-103.56	-105.98	-108.40	-110.81	-113.22	-115.61	-118.00	-120.37	-122.72	-125.05	-127.35	-129.62	-131.84	-134.01	-136.10	-138.10	-140.00
